#Total No. of Collocate Types: 907
#Total No. of Collocate Tokens: 39536
1	26	26	0	14.59029	kyj
2	82	0	82	14.59029	joustinja
3	14	14	0	14.59029	aurinkoisä
4	71	71	0	14.57012	viikkopiletti
5	83	0	83	14.55594	jouhipatja
6	14	0	14	14.07572	yhtiötalo
7	103	0	103	13.64017	kuosi
8	35	34	1	13.56983	pellervo
9	101	0	101	13.24850	ihana
10	64	64	0	13.16403	kultakello
11	114	1	113	13.13778	mukavuus
12	11	1	10	13.00533	joustaa
13	33	0	33	12.72780	mukav
14	36	0	36	12.54105	savuke
15	17	16	1	12.23481	soo
16	106	101	5	12.19151	erilainen
17	55	54	1	12.12373	rautasänky
18	20	0	20	12.09204	muk
19	49	49	0	12.07058	petos
20	101	9	92	12.00533	varustaa
21	279	8	271	11.89823	isä
22	47	45	2	11.84110	arvoinen
23	15	0	15	11.76926	haltija
24	10	1	9	11.66429	tilanne
25	70	7	63	11.54965	järjestelmä
26	14	14	0	11.51501	bmk
27	10	3	7	11.48596	draama
28	26	15	11	11.44524	oppikoulu
29	23	3	20	11.39961	oleskella
30	24	4	20	11.34871	mallita
31	88	10	78	11.33892	yhteiskunta
32	107	103	4	11.26971	malmi
33	15	15	0	11.22106	alkoovi
34	10	2	8	11.15733	keksintö
35	14	4	10	11.13086	kokoonpano
36	10	10	0	11.09204	esiintuoda
37	67	13	54	11.02885	vallita
38	21	12	9	10.95470	aurinkoinen
39	10	1	9	10.87880	lita
40	10	1	9	10.84613	maltiollinen
41	124	117	7	10.78627	rautatie
42	45	19	26	10.70060	huoneusto
43	34	5	29	10.68340	valtiollinen
44	38	3	35	10.62390	paras
45	15	1	14	10.61454	ammattiliitto
46	45	15	30	10.57435	kunnallinen
47	136	28	108	10.51285	enää
48	29	7	22	10.50869	kapitalistinen
49	16	1	15	10.43548	taantumus
50	12	9	3	10.42037	tätä
51	88	11	77	10.38973	kukaan
52	12	8	4	10.38735	työväenliike
53	12	2	10	10.37436	hallussa
54	11	2	9	10.37024	tiede
55	23	6	17	10.36902	työtaistelu
56	74	50	24	10.35473	keittiö
57	27	26	1	10.33395	pohjola
58	11	9	2	10.32180	tyytymättömyys
59	11	3	8	10.29484	voimakas
60	17	6	11	10.25990	sorto
61	10	10	0	10.19112	alkovi
62	70	63	7	10.18333	valmistaa
63	14	5	9	10.15924	säännös
64	36	27	9	10.14367	arvo
65	12	9	3	10.07722	erityisesti
66	15	3	12	10.05839	yhteiskunnallinen
67	12	5	7	10.05631	pula
68	15	8	7	10.05424	lainsäädäntö
69	12	4	8	10.05113	ilmiö
70	10	6	4	10.01740	ristiriita
71	99	23	76	10.01203	olo
72	23	4	19	9.97175	politiikka
73	14	3	11	9.97138	aikainen
74	10	2	8	9.94644	jäsenmäärä
75	36	10	26	9.94483	mahdoton
76	10	2	8	9.92354	söörnäinen
77	20	15	5	9.90379	ainakaan
78	46	9	37	9.89954	käytäntö
79	12	2	10	9.85784	yhteis
80	10	2	8	9.83541	työolot
81	17	3	14	9.83541	sin
82	19	6	13	9.82699	miltei
83	10	3	7	9.81946	säännöllisesti
84	15	10	5	9.81770	selostaa
85	11	8	3	9.81132	venä
86	31	11	20	9.80978	suunta
87	11	5	6	9.80180	äänioikeus
88	12	4	8	9.79155	mitenkään
89	13	12	1	9.74384	kuvata
90	11	7	4	9.71433	suureksi
91	18	4	14	9.69952	ien
92	12	11	1	9.67940	minkälainen
93	173	27	146	9.67398	ainoastaan
94	10	3	7	9.65483	rakennustyöläinen
95	11	5	6	9.64458	pyrkimys
96	12	5	7	9.63222	olosuhteet
97	11	8	3	9.63187	käytännöllinen
98	23	15	8	9.63004	kaunis
99	11	1	10	9.62346	tilalle
100	10	2	8	9.62220	luonne
101	20	9	11	9.60388	epäkohta
102	12	6	6	9.59406	paljoa
103	18	9	9	9.58779	työttömyys
104	17	8	9	9.57447	kehittyä
105	190	52	138	9.57261	asema
106	13	2	11	9.56622	tuotanto
107	51	12	39	9.53735	voima
108	13	7	6	9.53251	osittain
109	11	6	5	9.51057	sottaa
110	12	11	1	9.49578	selko
111	20	4	16	9.49437	kunto
112	28	12	16	9.49076	balkan
113	10	1	9	9.48596	pääministeri
114	11	5	6	9.48367	verrata
115	17	11	6	9.47074	parihuone
116	29	24	5	9.46813	muutos
117	12	6	6	9.46790	poliisilaitos
118	168	35	133	9.46593	käydä
119	11	3	8	9.46101	työehto
120	142	30	112	9.45146	käyttää
121	12	5	7	9.45074	persia
122	138	125	13	9.44734	joukko
123	92	81	11	9.44453	huom
124	20	8	12	9.43649	vaikea
125	32	9	23	9.43548	taloudellinen
126	41	30	11	9.42821	merkitä
127	11	6	5	9.42767	mallas
128	164	126	38	9.42428	maksaa
129	12	5	7	9.41038	sosialismi
130	11	5	6	9.39509	alhainen
131	12	4	8	9.39390	palvelus
132	18	6	12	9.38735	kallis
133	13	8	5	9.38685	suuresti
134	10	3	7	9.38474	synnyttää
135	10	6	4	9.38084	toisin
136	22	10	12	9.37730	köyhälistö
137	16	4	12	9.36871	poliisimestari
138	13	3	10	9.36592	ansio
139	35	12	23	9.35983	käsittää
140	12	9	3	9.35189	opettaa
141	44	15	29	9.34409	kanta
142	21	13	8	9.32619	muodostaa
143	18	5	13	9.32143	lähes
144	20	9	11	9.31790	silla
145	60	56	4	9.30736	smk
146	45	36	9	9.30571	vuokrata
147	89	25	64	9.30448	tila
148	94	44	50	9.28807	paljon
149	11	8	3	9.27494	kauvan
150	14	5	9	9.27353	verran
151	13	10	3	9.26559	helppo
152	56	40	16	9.26130	huomauttaa
153	13	7	6	9.25456	uudistus
154	10	5	5	9.25044	historia
155	23	12	11	9.24812	kehitys
156	13	3	10	9.24634	perin
157	12	8	4	9.23862	kosla
158	21	7	14	9.23778	tehtävä
159	11	6	5	9.23594	edistää
160	14	10	4	9.23274	puolustaa
161	28	14	14	9.22272	puute
162	33	7	26	9.21683	muoto
163	20	7	13	9.21005	teollisuus
164	13	6	7	9.20062	porvarillinen
165	12	8	4	9.18941	parannus
166	14	11	3	9.18333	martaa
167	33	14	19	9.17628	parempi
168	11	2	9	9.16708	sairas
169	16	11	5	9.16403	paremmin
170	13	4	9	9.16145	puuttua
171	11	8	3	9.15491	kohtalo
172	10	3	7	9.15067	muodostua
173	26	5	21	9.14480	rakentaa
174	22	7	15	9.13983	järjestys
175	13	9	4	9.13845	riippua
176	30	9	21	9.13743	maailma
177	15	2	13	9.13524	työsopimus
178	15	11	4	9.12214	etenkin
179	30	5	25	9.11781	omistaja
180	16	10	6	9.11456	maito
181	14	4	10	9.11225	kurja
182	26	7	19	9.10710	vaatimus
183	32	15	17	9.10346	ainoa
184	13	11	2	9.10338	säilyttää
185	29	16	13	9.09292	työskennellä
186	17	13	4	9.09279	myöskään
187	14	4	10	9.08250	mahdollistaa
188	22	14	8	9.06959	tyytyä
189	12	4	8	9.05891	toteuttaa
190	293	211	82	9.05787	kuin
191	10	3	7	9.05424	perus
192	22	5	17	9.04691	sangen
193	35	13	22	9.03395	ainakin
194	64	37	27	9.02519	ala
195	13	8	5	9.02395	muuttua
196	16	9	7	9.02044	kiina
197	55	23	32	9.02016	enemmän
198	19	11	8	9.01485	merkitys
199	37	18	19	9.00777	suhde
200	13	9	4	9.00533	kalustaa
201	42	15	27	9.00033	elämä
202	114	33	81	8.99613	hallitus
203	10	6	4	8.99336	minkäänlainen
204	13	7	6	8.98924	tehtää
205	24	14	10	8.97558	keskuudessa
206	10	4	6	8.97264	palvella
207	32	10	22	8.97007	huono
208	25	12	13	8.95570	voi
209	265	156	109	8.95539	suuri
210	10	3	7	8.95512	prokuraattori
211	86	47	39	8.95148	venäjä
212	17	9	8	8.94814	ero
213	15	4	11	8.94451	aima
214	14	5	9	8.94027	seisoa
215	29	16	13	8.93850	johtua
216	10	4	6	8.93781	mon
217	29	17	12	8.93455	lienee
218	71	22	49	8.93188	senaatti
219	86	27	59	8.93109	laki
220	11	4	7	8.93078	kurjuus
221	12	10	2	8.92970	lisääntyä
222	12	8	4	8.92023	kartano
223	35	10	25	8.90900	tarvita
224	29	10	19	8.90428	hoitaa
225	21	10	11	8.90313	kansakoulu
226	80	36	44	8.89055	palkka
227	17	12	5	8.88009	omata
228	125	65	60	8.87418	sellainen
229	10	6	4	8.85965	norja
230	10	1	9	8.84613	liene
231	95	69	26	8.84585	sillä
232	12	4	8	8.84210	jär
233	47	19	28	8.84110	moida
234	18	7	11	8.83838	hallinto
235	21	7	14	8.83795	val
236	27	10	17	8.83145	riittää
237	12	8	4	8.82874	niinkuin
238	21	9	12	8.82779	tosin
239	13	7	6	8.82721	var
240	23	8	15	8.82384	kokonaan
241	45	20	25	8.81770	nousta
242	19	1	18	8.81447	valta
243	51	40	11	8.81099	entinen
244	15	4	11	8.80893	massa
245	29	13	16	8.80352	luokka
246	10	5	5	8.80109	mukainen
247	13	3	10	8.79089	tapahtuma
248	59	26	33	8.78819	moi
249	38	15	23	8.78497	sota
250	25	15	10	8.78397	huo
251	12	5	7	8.78294	tuskin
252	22	9	13	8.78294	tarkoitus
253	15	4	11	8.78122	nauttia
254	14	8	6	8.77743	see
255	10	3	7	8.77523	useimmat
256	10	3	7	8.77267	hal
257	21	13	8	8.77194	esiintyä
258	17	8	9	8.76936	vero
259	23	9	14	8.76513	omistaa
260	27	14	13	8.76304	korkea
261	12	2	10	8.75951	kapitalisti
262	11	4	7	8.75510	siirtyä
263	59	29	30	8.75269	taistelu
264	27	14	13	8.75179	yhtä
265	15	4	11	8.74731	hetki
266	25	5	20	8.74129	lähemmin
267	12	3	9	8.73854	suur
268	10	7	3	8.73231	nimittää
269	19	11	8	8.73231	herättää
270	12	8	4	8.73024	työaika
271	22	7	15	8.72217	liian
272	13	6	7	8.70953	malttaa
273	13	6	7	8.70765	sitäpaitsi
274	10	8	2	8.70521	järjestäminen
275	12	4	8	8.68943	suinkaan
276	60	30	30	8.68340	kansa
277	11	5	6	8.68122	menetellä
278	42	30	12	8.67826	miten
279	13	8	5	8.67235	käsitys
280	25	16	9	8.67000	yleensä
281	22	10	12	8.66710	mu
282	14	8	6	8.65956	taistella
283	12	8	4	8.65562	työväestö
284	17	9	8	8.65262	poistaa
285	73	45	28	8.65180	määrä
286	10	6	4	8.65013	esimerkki
287	119	73	46	8.64946	vielä
288	10	4	6	8.64778	tavallinen
289	14	7	7	8.64778	sallia
290	19	9	10	8.64593	malta
291	19	16	3	8.64593	ajatella
292	26	16	10	8.64148	saksa
293	34	14	20	8.64090	duuma
294	13	6	7	8.63610	toa
295	31	18	13	8.63235	talonmies
296	55	21	34	8.62430	näyttää
297	18	10	8	8.62195	noudattaa
298	11	5	6	8.61301	myödä
299	12	8	4	8.61111	todella
300	26	7	19	8.61037	erittäin
301	12	7	5	8.60920	kieli
302	72	48	24	8.60793	mieli
303	28	13	15	8.59999	tarve
304	33	10	23	8.59851	vain
305	10	6	4	8.59481	tuma
306	12	5	7	8.59406	harjoittaa
307	23	14	9	8.59225	ammatillinen
308	54	29	25	8.58862	toiminta
309	10	7	3	8.58804	virka
310	23	10	13	8.57858	tuottaa
311	17	5	12	8.57447	luotsi
312	18	14	4	8.57287	tukea
313	30	10	20	8.57237	tärkeä
314	19	14	5	8.56559	lisätä
315	32	20	12	8.56101	esim
316	49	20	29	8.55934	joten
317	16	7	9	8.55275	set
318	11	5	6	8.55187	kiinnittää
319	19	1	18	8.55166	ase
320	28	17	11	8.55137	luku
321	13	4	9	8.55095	seutu
322	11	7	4	8.54988	ymmärtää
323	13	4	9	8.54758	suura
324	10	6	4	8.54590	korjata
325	60	40	20	8.54299	tuntea
326	11	9	2	8.54193	masto
327	244	174	70	8.53501	mikä
328	132	69	63	8.53337	suomi
329	31	13	18	8.53326	aivan
330	422	244	178	8.53316	ne
331	21	11	10	8.53243	mahdollinen
332	23	9	14	8.52795	venäläinen
333	41	29	12	8.52789	puhua
334	20	12	8	8.51776	ammattijärjestö
335	41	22	19	8.51687	juuri
336	16	5	11	8.51615	aiheuttaa
337	28	13	15	8.51424	määräys
338	11	9	2	8.51057	tua
339	21	7	14	8.50992	peruste
340	10	4	6	8.50921	heikko
341	181	32	149	8.50576	mk
342	18	4	14	8.50283	miljoona
343	21	4	17	8.50283	asetus
344	33	20	13	8.50090	toimenpide
345	24	16	8	8.49666	eä
346	143	87	56	8.49425	me
347	17	9	8	8.49412	nimittäin
348	14	6	8	8.49377	johto
349	19	11	8	8.49282	seuraus
350	40	12	28	8.48648	jolloin
351	16	3	13	8.48569	amerikka
352	16	11	5	8.48438	uudelleen
353	13	5	8	8.48177	toivoa
354	10	5	5	8.48177	laittaa
355	13	6	7	8.48016	sijaan
356	250	169	81	8.47993	kaikki
357	16	4	12	8.47525	kirkko
358	133	95	38	8.47174	huone
359	30	13	17	8.47135	ammatti
360	10	6	4	8.46928	kohota
361	21	13	8	8.46396	kuka
362	24	8	16	8.45672	sääntö
363	96	31	65	8.45159	nuo
364	34	12	22	8.45074	moni
365	14	8	6	8.44636	de
366	50	19	31	8.44625	nen
367	26	14	12	8.44603	kuinka
368	47	19	28	8.44358	työnantaja
369	15	6	9	8.44190	aita
370	43	31	12	8.44149	koska
371	53	29	24	8.44093	tahtoa
372	12	10	2	8.43548	osake
373	11	7	4	8.42951	sata
374	14	6	8	8.42898	taitaa
375	19	13	6	8.42883	kuva
376	13	7	6	8.42037	tun
377	14	8	6	8.42037	suhteen
378	54	27	27	8.41851	järjestö
379	49	26	23	8.41833	tä
380	35	8	27	8.41522	sopimus
