#Keyword Types: 125181
#Keyword Tokens: 22908156
#Search Hits: 13
127	1643	+	3174.38	0.0001	pomo
128	1767	+	3160.81	0.0001	työroäen
129	1603	+	3108.13	0.0001	amm
130	2327	+	3106.19	0.0002	työväenyhdistys
131	1076	+	3105.4	0.0001	liittoh
132	10630	+	3079.18	0.0007	joten
133	4014	+	3019.57	0.0003	mustata
134	13058	+	3007.55	0.0009	tehdas
135	1024	+	3003.55	0.0001	saunoja
136	15227	+	2964.6	0.001	maksaa
137	22822	+	2953.26	0.0016	siis
138	142724	+	2912.91	0.0096	tämä
139	12792	+	2890.93	0.0009	edustaja
140	1288	+	2890.72	0.0001	kapitalismi
141	5038	+	2866.46	0.0003	torppa
142	18367	+	2844.63	0.0013	moi
143	22037	+	2840.03	0.0015	syy
144	1604	+	2811.49	0.0001	porvarillinen
145	6010	+	2798.35	0.0004	keskustella
146	2368	+	2785.04	0.0002	olerota
147	3575	+	2770.12	0.0002	vero
148	1786	+	2768.35	0.0001	ammattiyhdistys
149	7174	+	2738.64	0.0005	jola
150	1561	+	2736.78	0.0001	naisosasto
151	35143	+	2720.56	0.0024	itse
152	920	+	2698.5	0.0001	ammattiosote
153	12680	+	2661.1	0.0009	ilmoitus
154	3152	+	2644.11	0.0002	sosialistinen
155	2049	+	2630.68	0.0001	rap
156	3759	+	2628.67	0.0003	kahvila
157	2191	+	2622.8	0.0002	rengas
158	4092	+	2619.15	0.0003	mestari
159	1000	+	2591.46	0.0001	puoluetoveri
160	899	+	2577.58	0.0001	eedvard
161	1099	+	2565.77	0.0001	sosialidemokratista
162	2291	+	2561.82	0.0002	työpaikka
163	2918	+	2546.89	0.0002	kanto
164	2427	+	2542.64	0.0002	työväestö
165	6939	+	2540.67	0.0005	kirj
166	3510	+	2525.76	0.0002	huolellisesti
167	23199	+	2514.52	0.0016	myös
168	18412	+	2509.56	0.0013	sillä
169	9262	+	2492.91	0.0006	tilata
170	5857	+	2488.95	0.0004	kolo
171	1056	+	2469.27	0.0001	tapaturmavak
172	1737	+	2458.38	0.0001	tuntinen
173	2714	+	2455.86	0.0002	kylpylaitos
174	1519	+	2453.03	0.0001	eloranta
175	1968	+	2440.7	0.0001	valpas
176	4635	+	2434.72	0.0003	kosla
177	3620	+	2427.45	0.0002	osuuskunta
178	1530	+	2420.96	0.0001	luottamusmies
179	11018	+	2413.44	0.0008	puheenjohtaja
180	1595	+	2411.95	0.0001	lolous
181	22040	+	2406.8	0.0015	kanssa
182	37974	+	2398.92	0.0026	sanoa
183	2024	+	2388.24	0.0001	tupakka
184	33412	+	2346.41	0.0023	hinta
185	1272	+	2344.74	0.0001	tomer
186	17045	+	2341.87	0.0012	eduskunta
187	1256	+	2338.05	0.0001	työläisnainen
188	1107	+	2330.79	0.0001	puoliv
189	24370	+	2328.91	0.0017	ainoastaan
190	1304	+	2327.3	0.0001	jousi
191	3990	+	2326.54	0.0003	saap
192	1554	+	2314.23	0.0001	silmälasi
193	2225	+	2309.46	0.0002	siltasaarikatu
194	1231	+	2309.02	0.0001	sveitsiläinen
195	1540	+	2292.48	0.0001	piiritoimikunta
196	966	+	2278.59	0.0001	kunnallinenjärjestö
197	1022	+	2269.36	0.0001	bem
198	3340	+	2262.77	0.0002	rota
199	108143	+	2261.46	0.0073	tulla
200	998	+	2259.97	0.0001	puoluelehti
201	2291	+	2245.13	0.0002	nälkä
202	4458	+	2243.44	0.0003	yhteiskunta
203	5766	+	2236.84	0.0004	laitti
204	7369	+	2230.8	0.0005	toto
205	1175	+	2230.61	0.0001	työväentalo
206	2501	+	2214.42	0.0002	hymäksyä
207	1103	+	2213.32	0.0001	rästikanto
208	5890	+	2209.31	0.0004	lanta
209	1695	+	2209.14	0.0001	työn
210	2807	+	2206.57	0.0002	mula
211	2221	+	2202.52	0.0002	löyhä
212	2363	+	2201.42	0.0002	amu
213	3241	+	2196.65	0.0002	lude
214	1401	+	2193.91	0.0001	muualle
215	1026	+	2176.05	0.0001	sahaasettaja
216	1883	+	2168.43	0.0001	kirjansitomo
217	23701	+	2165.24	0.0016	eräs
218	30827	+	2163.54	0.0021	la
219	883	+	2155.09	0.0001	puutyöntekijä
220	2429	+	2152.62	0.0002	työaika
221	9792	+	2152.02	0.0007	mielä
222	2060	+	2148.4	0.0001	siltasaarenk
223	968	+	2143.01	0.0001	porthaninkatu
224	727	+	2132.4	0.0001	rautamehu
225	984	+	2125.62	0.0001	oinola
226	10854	+	2110.54	0.0007	kyllä
227	4920	+	2102.93	0.0003	emä
228	978	+	2102.27	0.0001	tomeri
229	1048	+	2089.84	0.0001	lallo
230	3155	+	2077.94	0.0002	räätäli
231	2758	+	2071.45	0.0002	postikonttori
232	2285	+	2064.8	0.0002	enään
233	4368	+	2063.23	0.0003	aima
234	14825	+	2058.48	0.001	täytyä
235	5747	+	2056.92	0.0004	manen
236	3817	+	2053.54	0.0003	saha
237	1843	+	2041.39	0.0001	roasa
238	7752	+	2040.03	0.0005	muosi
239	998	+	2020.92	0.0001	jäsenkirja
240	1177	+	2016.35	0.0001	vuorela
241	14421	+	2003.57	0.001	raha
242	896	+	1999.22	0.0001	ryssä
243	7629	+	1998.97	0.0005	edes
244	1504	+	1991.93	0.0001	häätää
245	4745	+	1975.32	0.0003	manentaka
246	32542	+	1968.67	0.0022	mikään
247	19246	+	1967.73	0.0013	silloin
248	8736	+	1959.37	0.0006	tilaus
249	4463	+	1950.13	0.0003	lasi
250	5154	+	1945.75	0.0004	lyödä
251	12997	+	1945.16	0.0009	poika
252	4657	+	1944.99	0.0003	äänestää
253	1402	+	1944.91	0.0001	häätö
254	696	+	1941.72	0	tilausseteli
255	10355	+	1937.55	0.0007	näin
256	17161	+	1935.43	0.0012	muta
257	1220	+	1934.87	0.0001	hämeenk
258	933	+	1933.84	0.0001	jalkinekauppa
259	1186	+	1931.07	0.0001	vaski
260	4596	+	1925	0.0003	huomenna
261	1054	+	1907.18	0.0001	yksityinennumero
262	982	+	1883.62	0.0001	luokkataistelu
263	6917	+	1878.02	0.0005	ovi
264	1405	+	1877.8	0.0001	hymälsyä
265	773	+	1877.08	0.0001	kastrenink
266	4924	+	1876.26	0.0003	ly
267	1850	+	1871.98	0.0001	kihlat
268	4074	+	1851.83	0.0003	loska
269	1839	+	1847.47	0.0001	oroo
270	41320	+	1843.77	0.0028	nämä
271	3592	+	1833.37	0.0002	tehtää
272	4554	+	1831.18	0.0003	turkki
273	835	+	1830.85	0.0001	vuosik
274	7270	+	1821.12	0.0005	pl
275	6614	+	1818.38	0.0005	huono
276	15523	+	1813.23	0.0011	taka
277	920	+	1812.49	0.0001	marx
278	1346	+	1802.88	0.0001	kuusinen
279	1408	+	1802.22	0.0001	laukko
280	4514	+	1777.94	0.0003	lohi
281	888	+	1776.88	0.0001	gln
282	7279	+	1770.76	0.0005	av
283	1623	+	1763.53	0.0001	sisäänpääsy
284	737	+	1758.22	0.0001	pormaristo
285	870	+	1755.79	0.0001	näytöskappale
286	19930	+	1741.71	0.0014	tietää
287	1131	+	1740.72	0.0001	ammattilainen
288	2529	+	1736.24	0.0002	maatia
289	21452	+	1730.53	0.0015	tuo
290	1952	+	1726.78	0.0001	sirola
291	1809	+	1710.16	0.0001	nuortamies
292	11216	+	1702.4	0.0008	palkka
293	3312	+	1701.42	0.0002	olirota
294	1245	+	1693.63	0.0001	luitenlin
295	2142	+	1686.71	0.0001	palttoo
296	2871	+	1685.64	0.0002	ihan
297	851	+	1684.33	0.0001	puheenjoht
298	4430	+	1681.29	0.0003	yltää
299	6683	+	1678.89	0.0005	maikka
300	7418	+	1674.87	0.0005	asiamies
301	1557	+	1671.78	0.0001	agitaattori
302	836	+	1667.55	0.0001	työmestö
303	893	+	1666.85	0.0001	jalkineliike
304	8911	+	1661.9	0.0006	luona
305	15652	+	1661.9	0.0011	siellä
306	1782	+	1649.52	0.0001	perttilä
307	1075	+	1645.16	0.0001	isännistö
308	6441	+	1637.33	0.0004	kuolema
309	25745	+	1629.44	0.0018	nainen
310	1351	+	1617.88	0.0001	piharakennus
311	1849	+	1617.07	0.0001	sulku
312	684	+	1611.64	0	riistäjä
313	12594	+	1611.47	0.0009	no
314	1830	+	1601.23	0.0001	kurjuus
315	27066	+	1595.77	0.0019	lehti
316	576	+	1593.49	0	ruotsinkiel
317	2957	+	1591.29	0.0002	osuuskauppa
318	2129	+	1588.77	0.0001	kurikka
319	2433	+	1587.79	0.0002	leipuri
320	613	+	1582.62	0	lesche
321	3653	+	1581.57	0.0003	vener
322	1493	+	1562.93	0.0001	kok
323	1959	+	1562.72	0.0001	lakkolainen
324	785	+	1560.84	0.0001	vlee
325	547	+	1559.15	0	suomenn
326	540	+	1558.55	0	paperitarve
327	7954	+	1557.3	0.0005	perhe
328	14667	+	1551.55	0.001	taas
329	1488	+	1550.72	0.0001	tomera
330	1728	+	1550.61	0.0001	taroa
331	1635	+	1550.19	0.0001	taantumus
332	1841	+	1549.68	0.0001	lanssa
333	21742	+	1548.33	0.0015	jotta
334	1301	+	1547.66	0.0001	jäs
335	912	+	1541.49	0.0001	parturiliike
336	2005	+	1533.49	0.0001	äänenkannattaja
337	845	+	1532.91	0.0001	rappari
338	957	+	1530.34	0.0001	peltiseppä
339	2025	+	1530.02	0.0001	hyra
340	2077	+	1529.13	0.0001	suutari
341	2141	+	1524.84	0.0001	virtanen
342	1149	+	1515.74	0.0001	hemonen
343	838	+	1512.83	0.0001	järjestyminen
344	616	+	1511.51	0	pormar
345	2925	+	1507.77	0.0002	jonla
346	928	+	1506.98	0.0001	nisu
347	2691	+	1506.52	0.0002	maalari
348	2911	+	1501.14	0.0002	äänioikeus
349	3650	+	1493.34	0.0003	roiime
350	21943	+	1489.34	0.0015	kuulua
351	1262	+	1483.33	0.0001	simonkatu
352	532	+	1481.35	0	aseff
353	647	+	1479.96	0	porroari
354	6146	+	1477.81	0.0004	sopimus
355	13114	+	1469.32	0.0009	huom
356	9914	+	1467.23	0.0007	tunti
357	1120	+	1463.87	0.0001	kirvesmies
358	11357	+	1459.27	0.0008	etu
359	678	+	1458.72	0	sosialidemokratinen
360	2162	+	1456.52	0.0001	eila
361	23534	+	1456.15	0.0016	sellainen
362	2823	+	1451.34	0.0002	puuseppä
363	3751	+	1450.54	0.0003	taistella
364	3161	+	1450.21	0.0002	tilaushinta
365	4236	+	1448.86	0.0003	puku
366	1482	+	1445.75	0.0001	mero
367	907	+	1443.99	0.0001	työmäkiyhdistys
368	631	+	1440.43	0	pomari
369	7297	+	1434.2	0.0005	maksu
370	2614	+	1433.99	0.0002	tanssi
371	689	+	1431.45	0	sosialidemokratti
372	16190	+	1429.82	0.0011	ml
373	4633	+	1427.58	0.0003	menettely
374	4695	+	1424.55	0.0003	hauska
375	1133	+	1423.13	0.0001	palmelija
376	2222	+	1420.56	0.0002	rautatieläinen
377	3188	+	1419.54	0.0002	vangita
378	1058	+	1413.58	0.0001	paikallisjärjestö
379	7791	+	1403.72	0.0005	sanomalehti
380	55541	+	1402.91	0.0038	me
381	2307	+	1401.88	0.0002	sortaa
382	4930	+	1400.3	0.0003	alennus
383	589	+	1389.53	0	sosialidemokrati
384	13775	+	1385.35	0.0009	mä
385	49604	+	1380.09	0.0034	toinen
386	807	+	1368.09	0.0001	auk
387	521	+	1367.5	0	hautausapur
388	15331	+	1366.65	0.0011	päästä
389	13356	+	1364.39	0.0009	tukea
390	1817	+	1361.78	0.0001	tarmita
391	1119	+	1351.16	0.0001	simonk
392	18424	+	1345.74	0.0013	laki
393	505	+	1340.28	0	tupakkateollisuus
394	2288	+	1338.78	0.0002	kalossi
395	690	+	1334.99	0	työmäestö
396	12375	+	1334.42	0.0009	luu
397	462	+	1330.38	0	puuimuke
398	1233	+	1329.77	0.0001	selmi
399	941	+	1327.96	0.0001	lumata
400	1199	+	1326.71	0.0001	luuluu
401	3911	+	1321.29	0.0003	loma
402	14461	+	1321.19	0.001	päätös
403	23048	+	1320.28	0.0016	pnä
404	10024	+	1318.61	0.0007	yhtyä
405	1858	+	1318.57	0.0001	tellä
406	2877	+	1317.17	0.0002	piha
407	2417	+	1306.64	0.0002	leipä
408	445	+	1305.25	0	samariini
409	3777	+	1305.13	0.0003	pakottaa
410	1049	+	1303.85	0.0001	työpalkka
411	2965	+	1303.39	0.0002	rappu
412	1862	+	1297.48	0.0001	joto
413	2084	+	1295.13	0.0001	pub
414	728	+	1288.36	0.0001	työpäimä
415	439	+	1287.65	0	neljänes
416	1274	+	1283.61	0.0001	lertoa
417	11181	+	1281.85	0.0008	yhä
418	1513	+	1279.87	0.0001	fredriksberg
419	780	+	1279.68	0.0001	loloulse
420	879	+	1279.58	0.0001	luinla
421	783	+	1277.59	0.0001	hautausapu
